feature,selected,selection_reason
renewable_total_forecast_revision_id_minus_da_mw_rolling_mean_3d_same_local_qh,False,not_baseline_feature
renewable_total_forecast_revision_id_minus_da_mw_rolling_median_3d_same_local_qh,False,not_baseline_feature
renewable_total_forecast_revision_id_minus_da_mw_rolling_std_3d_same_local_qh,False,not_baseline_feature
renewable_total_forecast_revision_id_minus_da_mw_rolling_mean_7d_same_local_qh,False,not_baseline_feature
renewable_total_forecast_revision_id_minus_da_mw_rolling_median_7d_same_local_qh,False,not_baseline_feature
renewable_total_forecast_revision_id_minus_da_mw_rolling_std_7d_same_local_qh,False,not_baseline_feature
renewable_total_forecast_revision_id_minus_da_mw_rolling_mean_14d_same_local_qh,False,not_baseline_feature
renewable_total_forecast_revision_id_minus_da_mw_rolling_median_14d_same_local_qh,False,not_baseline_feature
renewable_total_forecast_revision_id_minus_da_mw_rolling_std_14d_same_local_qh,False,not_baseline_feature
renewable_total_forecast_revision_id_minus_da_mw_rolling_mean_28d_same_local_qh,False,not_baseline_feature
renewable_total_forecast_revision_id_minus_da_mw_rolling_median_28d_same_local_qh,False,not_baseline_feature
renewable_total_forecast_revision_id_minus_da_mw_rolling_std_28d_same_local_qh,False,not_baseline_feature
wind_total_forecast_revision_id_minus_da_mw_rolling_mean_3d_same_local_qh,False,not_baseline_feature
wind_total_forecast_revision_id_minus_da_mw_rolling_median_3d_same_local_qh,False,not_baseline_feature
wind_total_forecast_revision_id_minus_da_mw_rolling_std_3d_same_local_qh,False,not_baseline_feature
wind_total_forecast_revision_id_minus_da_mw_rolling_mean_7d_same_local_qh,False,not_baseline_feature
wind_total_forecast_revision_id_minus_da_mw_rolling_median_7d_same_local_qh,False,not_baseline_feature
wind_total_forecast_revision_id_minus_da_mw_rolling_std_7d_same_local_qh,False,not_baseline_feature
wind_total_forecast_revision_id_minus_da_mw_rolling_mean_14d_same_local_qh,False,not_baseline_feature
wind_total_forecast_revision_id_minus_da_mw_rolling_median_14d_same_local_qh,False,not_baseline_feature
wind_total_forecast_revision_id_minus_da_mw_rolling_std_14d_same_local_qh,False,not_baseline_feature
wind_total_forecast_revision_id_minus_da_mw_rolling_mean_28d_same_local_qh,False,not_baseline_feature
wind_total_forecast_revision_id_minus_da_mw_rolling_median_28d_same_local_qh,False,not_baseline_feature
wind_total_forecast_revision_id_minus_da_mw_rolling_std_28d_same_local_qh,False,not_baseline_feature
residual_load_revision_id_minus_da_approx_mw_rolling_mean_3d_same_local_qh,False,not_baseline_feature
residual_load_revision_id_minus_da_approx_mw_rolling_median_3d_same_local_qh,False,not_baseline_feature
residual_load_revision_id_minus_da_approx_mw_rolling_std_3d_same_local_qh,False,not_baseline_feature
residual_load_revision_id_minus_da_approx_mw_rolling_mean_7d_same_local_qh,False,not_baseline_feature
residual_load_revision_id_minus_da_approx_mw_rolling_median_7d_same_local_qh,False,not_baseline_feature
residual_load_revision_id_minus_da_approx_mw_rolling_std_7d_same_local_qh,False,not_baseline_feature
residual_load_revision_id_minus_da_approx_mw_rolling_mean_14d_same_local_qh,False,not_baseline_feature
residual_load_revision_id_minus_da_approx_mw_rolling_median_14d_same_local_qh,False,not_baseline_feature
residual_load_revision_id_minus_da_approx_mw_rolling_std_14d_same_local_qh,False,not_baseline_feature
residual_load_revision_id_minus_da_approx_mw_rolling_mean_28d_same_local_qh,False,not_baseline_feature
residual_load_revision_id_minus_da_approx_mw_rolling_median_28d_same_local_qh,False,not_baseline_feature
residual_load_revision_id_minus_da_approx_mw_rolling_std_28d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_lag_1d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_lag_1d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_lag_1d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_lag_1d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_lag_1d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_lag_1d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_lag_1d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_lag_2d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_lag_2d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_lag_2d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_lag_2d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_lag_2d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_lag_2d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_lag_2d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_lag_7d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_lag_7d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_lag_7d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_lag_7d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_lag_7d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_lag_7d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_lag_7d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_lag_14d_same_local_qh,False,not_baseline_feature
solar_id_forecast_error_mw_lag_14d_same_local_qh,False,not_baseline_feature
wind_onshore_da_forecast_error_mw_lag_14d_same_local_qh,False,not_baseline_feature
wind_onshore_id_forecast_error_mw_lag_14d_same_local_qh,False,not_baseline_feature
wind_offshore_da_forecast_error_mw_lag_14d_same_local_qh,False,not_baseline_feature
wind_offshore_id_forecast_error_mw_lag_14d_same_local_qh,False,not_baseline_feature
load_da_forecast_error_mw_lag_14d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_rolling_mean_3d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_rolling_median_3d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_rolling_std_3d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_rolling_mean_7d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_rolling_median_7d_same_local_qh,False,not_baseline_feature
solar_da_forecast_error_mw_rolling_std_7d_same_local_qh,False,not_baseline_feature
