feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_importance,median_importance,max_importance,mean_rank,best_rank,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected
solar_forecast_revision_id_minus_da_mw_lag_1d_same_local_qh,0.0,0.0,0.0,0.0,0.002195982773453744,0.0,0.006224578044580576,108.33333333333333,53.0,False,True,kept,3459,0.5955578512396694,3342,forecast_revision,forecast_revision,solar_forecast_revision_id_minus_da_mw,True,kept,renewable_total_forecast_revision_id_minus_da_mw_lag_1d_same_local_qh,0.5444859778308302,0.029365025911867088,forecast_revision,forecast_revision,solar_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,solar_forecast_revision_id_minus_da_mw,False
ida3_minus_da_spread_eur_mwh_rolling_mean_14d_same_local_qh,0.0,0.0,0.0,0.0,0.0021957071324283403,0.0,0.006309256263145028,146.44444444444446,56.0,False,True,kept,5568,0.9586776859504132,5549,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,kept,ida3_minus_da_spread_eur_mwh_rolling_median_14d_same_local_qh,0.8094447615003939,0.15684203531358654,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,False
ida3_price_eur_mwh_regime_vol_28d,0.0,0.0,0.0,0.0,0.002155508525969432,0.0,0.009931699050247666,195.0,42.0,False,True,kept,5328,0.9173553719008265,5328,regime_volatility,regime,ida3_price_eur_mwh,True,kept,ida3_price_eur_mwh_regime_abs_median_28d_over_vol,0.9189116856880358,0.01758101088897777,regime_volatility,regime,ida3_price_eur_mwh,regime_volatility,regime,ida3_price_eur_mwh,False
da_price_eur_mwh_regime_vol_7d_over_28d,0.0,0.0,0.0,0.0,0.0020320171516688412,0.0,0.006260110686959662,182.88888888888889,50.0,False,True,kept,5808,1.0,5808,regime_volatility,regime,da_price_eur_mwh,True,kept,ida3_price_eur_mwh_regime_vol_7d_over_28d,0.5940159308943691,0.0007950168983039423,regime_volatility,regime,da_price_eur_mwh,regime_volatility,regime,da_price_eur_mwh,False
wind_total_forecast_revision_id_minus_da_mw_lag_7d_same_local_qh,0.0,0.0,0.0,0.0,0.0018688844336676809,0.0,0.010389703993574311,120.66666666666667,28.0,False,True,kept,5664,0.9752066115702479,5664,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,True,kept,renewable_total_forecast_revision_id_minus_da_mw_lag_7d_same_local_qh,0.8912793557650466,0.03140072009845258,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,False
residual_load_forecast_id_approx_mw_lag_2d_same_local_qh,0.0,0.0,0.0,0.0,0.001799245727379602,0.0,0.00639598342706983,92.88888888888889,45.0,False,True,kept,5760,0.9917355371900827,5760,id_forecast,forecast_level,residual_load_forecast_id_approx_mw,True,kept,renewable_total_forecast_id_mw_lag_2d_same_local_qh,0.8621542721867848,0.1420744080617606,id_forecast,forecast_level,residual_load_forecast_id_approx_mw,id_forecast,forecast_level,residual_load_forecast_id_approx_mw,False
load_forecast_da_mw_lag_2d_same_local_qh,0.0,0.0,0.0,0.0,0.001743128756185162,0.0,0.006025136583816652,85.22222222222223,55.0,False,True,kept,5760,0.9917355371900827,5760,da_forecast,forecast_level,load_forecast_da_mw,True,kept,load_forecast_da_mw_lag_1d_same_local_qh,0.7454077351759741,0.01930153740761452,da_forecast,forecast_level,load_forecast_da_mw,da_forecast,forecast_level,load_forecast_da_mw,False
wind_offshore_id_forecast_error_mw_rolling_std_14d_same_local_qh,0.0,0.0,0.0,0.0,0.0017118912894750129,0.0,0.011210192781368805,154.77777777777777,25.0,False,True,kept,4704,0.8099173553719008,4176,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,True,kept,wind_offshore_id_forecast_error_mw_rolling_std_28d_same_local_qh,0.678700898970234,0.048573739323129445,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,False
wind_total_forecast_revision_id_minus_da_mw_rolling_median_14d_same_local_qh,0.0,0.0,0.0,0.0,0.0017088820226098605,0.0,0.008304942129519901,118.44444444444444,52.0,False,True,kept,5808,1.0,3579,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,True,kept,wind_total_forecast_revision_id_minus_da_mw_rolling_mean_14d_same_local_qh,0.7631169820169623,0.09491268030635146,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,False
load_da_forecast_error_mw_rolling_std_14d_same_local_qh,0.0,0.0,0.0,0.0,0.0016614603629538142,0.0,0.011494780307244845,157.66666666666666,29.0,False,True,kept,4704,0.8099173553719008,4176,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True,kept,load_da_forecast_error_mw_rolling_std_28d_same_local_qh,0.7138611899964346,0.03412237793107178,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,False
