timestamp_utc,timestamp_local,date_local,hour_local,minute_local,quarter_hour_local,weekday_local,month_local,ida3_price_eur_mwh,da_price_eur_mwh,load_da_forecast_error_mw_rolling_mean_3d_same_local_qh,wind_onshore_forecast_da_mw,ida3_price_eur_mwh_lag_14d_same_local_qh,ida3_minus_da_spread_eur_mwh_regime_vol_7d_over_28d,wind_onshore_da_forecast_error_mw_rolling_mean_3d_same_local_qh,ida3_minus_da_spread_eur_mwh_rolling_std_3d_same_local_qh,ida3_price_eur_mwh_regime_vol_7d_over_28d,ida3_minus_da_spread_eur_mwh_rolling_median_3d_same_local_qh,ida3_price_eur_mwh_regime_abs_median_28d_over_vol,load_forecast_da_mw_lag_1d_same_local_qh,wind_offshore_forecast_id_mw_lag_14d_same_local_qh,ida3_minus_da_spread_eur_mwh
2026-06-03 14:30:00+00:00,2026-06-03 16:30:00+02:00,2026-06-03,16,30,2,2,6,72.39,84.14,,13882.35208,,0.9190188547399849,,11.867124054855632,0.990102614768107,-1.2099999999999937,2.03307878190267,57472.419072,2628.15,-11.75
2026-06-03 14:45:00+00:00,2026-06-03 16:45:00+02:00,2026-06-03,16,45,3,2,6,87.51,107.76,,13666.157,,1.2486470165848946,,36.751239888381086,0.9046344108204248,-8.989999999999995,2.2003193101725835,57558.89411,2609.55,-20.25
2026-06-03 15:00:00+00:00,2026-06-03 17:00:00+02:00,2026-06-03,17,0,0,2,6,74.11,67.87,,13435.72235,,1.0021714238527315,,13.770643896831162,0.8026723487949528,-2.2700000000000102,2.1182288981533,58040.631681,2587.88,6.239999999999995
2026-06-03 15:15:00+00:00,2026-06-03 17:15:00+02:00,2026-06-03,17,15,1,2,6,77.94,95.07,,13189.25926,,1.520652418289019,,7.423350546305445,0.608409572844996,-4.5,2.3558991861763974,58116.459473,2550.35,-17.129999999999995
2026-06-03 15:30:00+00:00,2026-06-03 17:30:00+02:00,2026-06-03,17,30,2,2,6,97.46,106.37,,12917.98852,,1.3547638276353187,,9.990747386123486,0.623620202489034,-7.510000000000005,2.915137210902172,58157.350918,2522.5,-8.91000000000001
2026-06-03 15:45:00+00:00,2026-06-03 17:45:00+02:00,2026-06-03,17,45,3,2,6,102.13,117.41,,12631.6281,,1.2790992482580548,,12.874355647306528,0.4367807958440501,-15.449999999999989,4.686206713563967,58291.80249,2475.09,-15.280000000000001
2026-06-03 16:00:00+00:00,2026-06-03 18:00:00+02:00,2026-06-03,18,0,0,2,6,102.15,103.26,,12320.72643,,1.3845160162230796,,12.444763289566161,0.6490825294823348,0.6899999999999977,5.030451053143508,59190.280218,2430.62,-1.1099999999999994
2026-06-03 16:15:00+00:00,2026-06-03 18:15:00+02:00,2026-06-03,18,15,1,2,6,111.98,124.99,,11939.14973,,1.6227591062147315,,9.368906019381345,0.6852544319310797,-0.75,9.773491741187971,59240.440274,2405.84,-13.009999999999991
2026-06-03 16:30:00+00:00,2026-06-03 18:30:00+02:00,2026-06-03,18,30,2,2,6,118.82,130.81,,11549.31326,,1.437321096422648,,0.7629110913686795,0.43153426865397015,-3.8700000000000045,12.389486285209474,59012.871521,2382.08,-11.990000000000009
2026-06-03 16:45:00+00:00,2026-06-03 18:45:00+02:00,2026-06-03,18,45,3,2,6,128.29,150.9,,11159.20835,,0.8660662258346891,,4.552211916566871,0.667049885208413,-11.299999999999983,11.136939839879508,59201.972716,2362.28,-22.610000000000014
2026-06-03 17:00:00+00:00,2026-06-03 19:00:00+02:00,2026-06-03,19,0,0,2,6,123.06,132.76,,10771.74134,,1.673774005774818,,30.75464355182807,0.698119906902041,-7.569999999999993,13.271401721795161,59317.401695,2338.45,-9.699999999999989
2026-06-03 17:15:00+00:00,2026-06-03 19:15:00+02:00,2026-06-03,19,15,1,2,6,136.91,146.82,,10476.13487,,1.64285626686538,,32.99323314459093,0.9683988136598223,-11.329999999999984,10.962949799720258,58997.239953,2322.17,-9.909999999999997
2026-06-03 17:30:00+00:00,2026-06-03 19:30:00+02:00,2026-06-03,19,30,2,2,6,139.03,141.58,,10195.4965,,1.5109818955778909,,17.796812448675553,1.2279308477105075,-16.099999999999994,7.67423394845036,59035.386759,2307.03,-2.5500000000000114
2026-06-03 17:45:00+00:00,2026-06-03 19:45:00+02:00,2026-06-03,19,45,3,2,6,152.21,175.0,,9928.32001,,1.5400705500012617,,25.361520064854155,1.4590792382039073,-44.00999999999999,4.851834242864193,58907.432661,2292.09,-22.789999999999992
2026-06-03 18:00:00+00:00,2026-06-03 20:00:00+02:00,2026-06-03,20,0,0,2,6,146.41,152.9,,9731.07752,,1.529371084155971,,42.97834222023926,1.4452722117063193,-9.870000000000005,5.219759190565897,58482.533781,2278.63,-6.490000000000009
2026-06-03 18:15:00+00:00,2026-06-03 20:15:00+02:00,2026-06-03,20,15,1,2,6,147.9,154.91,,9943.57517,,1.6195962864967117,,42.66836884625425,1.6114690393358924,-25.669999999999987,3.8611663699384784,58075.658979,2257.6,-7.009999999999991
2026-06-03 18:30:00+00:00,2026-06-03 20:30:00+02:00,2026-06-03,20,30,2,2,6,146.33,145.29,,10159.24354,,1.6578216278836355,,41.050605760857316,1.629340286639377,-10.5,3.1957527208577683,57464.835426,2231.77,1.0400000000000205
2026-06-03 18:45:00+00:00,2026-06-03 20:45:00+02:00,2026-06-03,20,45,3,2,6,149.23,162.09,,10364.62115,,1.595200645050087,,39.72419455864817,1.6401085027684936,-44.72999999999999,2.5557647066264413,56929.690719,2207.18,-12.860000000000014
2026-06-03 19:00:00+00:00,2026-06-03 21:00:00+02:00,2026-06-03,21,0,0,2,6,136.53,160.52,,10803.88401,,1.5647565218640396,,34.17369309863949,1.6390891660898728,-7.519999999999982,2.7376107594783843,56327.865092,2190.15,-23.99000000000001
2026-06-03 19:15:00+00:00,2026-06-03 21:15:00+02:00,2026-06-03,21,15,1,2,6,130.14,150.01,,11543.66354,,1.8600364138293348,,39.876765164692074,1.6675236120297423,-28.840000000000003,2.8131337842603403,55704.134371,2190.99,-19.870000000000005
2026-06-03 19:30:00+00:00,2026-06-03 21:30:00+02:00,2026-06-03,21,30,2,2,6,126.73,143.11,,12318.20461,,1.4264217383620421,,14.182617294890711,1.6400900499347792,-25.390000000000015,3.920650864772681,54969.244797,2191.94,-16.38000000000001
2026-06-03 19:45:00+00:00,2026-06-03 21:45:00+02:00,2026-06-03,21,45,3,2,6,124.7,132.75,,13114.48306,,1.746564329763813,,109.37779070725465,1.4472258390968145,-20.47,6.554256143094192,54224.937765,2192.25,-8.049999999999997
2026-06-03 20:00:00+00:00,2026-06-03 22:00:00+02:00,2026-06-03,22,0,0,2,6,129.69,139.12,,13773.67932,,1.6510806600657923,,10.688846211511008,1.5241462579094975,-16.97,5.325609469739764,53182.067112,2195.24,-9.430000000000007
2026-06-03 20:15:00+00:00,2026-06-03 22:15:00+02:00,2026-06-03,22,15,1,2,6,129.69,127.45,,14752.99286,,1.6036533129914277,,33.42845693916088,1.4750689932661485,-14.699999999999989,7.419052384696443,52283.062569,2199.53,2.239999999999995
2026-06-03 20:30:00+00:00,2026-06-03 22:30:00+02:00,2026-06-03,22,30,2,2,6,115.9,117.73,,15737.30684,,1.3846101468808332,,8.115579667117638,1.3484721286585668,-11.849999999999994,9.2730403746437,51510.343204,2202.82,-1.8299999999999983
2026-06-03 20:45:00+00:00,2026-06-03 22:45:00+02:00,2026-06-03,22,45,3,2,6,109.85,111.2,,16711.96419,,1.7414656576714878,,46.526124202788836,1.2873523274484573,-5.709999999999994,10.571109145959243,50871.950018,2206.03,-1.3500000000000085
2026-06-03 21:00:00+00:00,2026-06-03 23:00:00+02:00,2026-06-03,23,0,0,2,6,107.88,115.97,,17639.38283,,0.6496957418888242,,3.05054639914446,1.0612698033672803,-4.469999999999999,10.007031482395956,50101.807569,2216.43,-8.090000000000003
2026-06-03 21:15:00+00:00,2026-06-03 23:15:00+02:00,2026-06-03,23,15,1,2,6,104.99,108.8,,18435.89727,,0.6564689310377365,,4.360061161650519,1.150337409783226,-2.969999999999999,10.081680351003518,49692.515984,2229.26,-3.8100000000000023
2026-06-03 21:30:00+00:00,2026-06-03 23:30:00+02:00,2026-06-03,23,30,2,2,6,98.69,100.3,,19218.05445,,1.2446829944184534,,6.821190023253513,1.119791810689225,-9.5,10.666342400120227,49015.885784,2243.3,-1.6099999999999994
2026-06-03 21:45:00+00:00,2026-06-03 23:45:00+02:00,2026-06-03,23,45,3,2,6,86.57,82.41,,19986.7576,,1.4261586349926103,,3.8581126646759945,1.2842967552103275,-10.900000000000006,9.04163854329603,48265.652826,2257.0,4.159999999999997
2026-06-04 10:00:00+00:00,2026-06-04 12:00:00+02:00,2026-06-04,12,0,0,3,6,-0.03,5.6,,20904.38589,21.62,1.4403870558177878,,37.79077797558553,1.0504564573351733,-0.010000000000005116,0.7948389776213662,62633.503595,948.24,-5.63
2026-06-04 10:15:00+00:00,2026-06-04 12:15:00+02:00,2026-06-04,12,15,1,3,6,-0.51,-1.82,,20989.26793,17.7,1.3984191369706915,,35.29190275403128,1.007992263310901,2.6599999999999966,0.7028748512793545,63027.753874,968.24,1.31
2026-06-04 10:30:00+00:00,2026-06-04 12:30:00+02:00,2026-06-04,12,30,2,3,6,-0.46,2.5,,21099.69404,15.9,0.976343003127139,,16.2645750021327,0.9583166734503028,1.480000000000004,0.6794614857472597,62821.502937,985.28,-2.96
2026-06-04 10:45:00+00:00,2026-06-04 12:45:00+02:00,2026-06-04,12,45,3,3,6,1.0,-3.4,,21249.40769,13.88,1.5938696550022087,,28.132830169276133,0.9076674290896908,3.6499999999999915,0.5774346691367394,63620.364132,1004.26,4.4
2026-06-04 11:00:00+00:00,2026-06-04 13:00:00+02:00,2026-06-04,13,0,0,3,6,0.06,0.4,,21420.01629,15.0,1.037478342754233,,14.97061232325964,0.9386993902090478,1.8399999999999892,0.5785861943311708,62117.38587,1069.01,-0.34
2026-06-04 11:15:00+00:00,2026-06-04 13:15:00+02:00,2026-06-04,13,15,1,3,6,0.51,-0.05,,21629.28909,15.38,0.7852527203869483,,17.44172105422321,0.88478723557801,-0.21999999999999886,0.4845948486476941,62035.150031,1118.05,0.56
2026-06-04 11:30:00+00:00,2026-06-04 13:30:00+02:00,2026-06-04,13,30,2,3,6,-0.01,0.5,,21917.60066,15.05,1.071696926004067,,15.350254069558584,0.8361455484292878,2.009999999999991,0.43758424408164653,61730.452926,1149.15,-0.51
2026-06-04 11:45:00+00:00,2026-06-04 13:45:00+02:00,2026-06-04,13,45,3,3,6,0.0,-0.08,,22362.4398,17.76,1.5400592270020939,,28.456966341009256,0.8251989854908325,31.939999999999998,0.43377739929539155,60376.918315,1179.32,0.08
2026-06-04 12:00:00+00:00,2026-06-04 14:00:00+02:00,2026-06-04,14,0,0,3,6,-0.69,-5.01,,22943.61388,15.5,0.5183097992846962,,29.359247833235322,0.8798626692127149,11.579999999999998,0.44857550598533036,61061.780813,1122.44,4.32
2026-06-04 12:15:00+00:00,2026-06-04 14:15:00+02:00,2026-06-04,14,15,1,3,6,-1.0,-0.01,,23320.22459,16.78,1.0952240921689584,,12.119929867783881,0.8846241833665891,5.429999999999993,0.4389338745770894,60415.983109,1145.43,-0.99
2026-06-04 12:30:00+00:00,2026-06-04 14:30:00+02:00,2026-06-04,14,30,2,3,6,0.21,-0.04,,23554.61283,18.2,1.1006633215680568,,23.769406807911714,0.9267279626335552,8.469999999999999,0.4388651596715223,60187.857562,1167.42,0.25
2026-06-04 12:45:00+00:00,2026-06-04 14:45:00+02:00,2026-06-04,14,45,3,3,6,1.0,-0.01,,23758.17377,23.88,1.0471229200421555,,22.815315762297335,0.9577572503272189,-1.3600000000000065,0.512772891076205,59452.294546,1191.95,1.01
2026-06-04 13:00:00+00:00,2026-06-04 15:00:00+02:00,2026-06-04,15,0,0,3,6,-0.39,-3.89,,23923.15191,20.78,0.7307233019929228,,10.83905899974717,0.9696824032422343,4.680000000000007,0.5072265535465654,59728.022666,1218.97,3.5
2026-06-04 13:15:00+00:00,2026-06-04 15:15:00+02:00,2026-06-04,15,15,1,3,6,-2.1,0.0,,24033.94272,23.99,0.4611481931062678,,7.842633486272327,0.9709287893958469,0.539999999999992,0.5260612859974201,58681.58568,1256.32,-2.1
2026-06-04 13:30:00+00:00,2026-06-04 15:30:00+02:00,2026-06-04,15,30,2,3,6,-0.5,11.8,,24150.46826,44.31,0.3939028737259688,,11.857863776133268,0.9958770261976233,0.3400000000000034,0.9532498980787594,58912.350892,1288.63,-12.3
2026-06-04 13:45:00+00:00,2026-06-04 15:45:00+02:00,2026-06-04,15,45,3,3,6,2.99,6.45,,24289.16543,59.67,0.7283501626753085,,8.649539486778085,1.0068345634071205,-4.459999999999994,1.3944358002735988,59024.611501,1316.16,-3.46
2026-06-04 14:00:00+00:00,2026-06-04 16:00:00+02:00,2026-06-04,16,0,0,3,6,3.05,6.3,,24382.22164,44.57,1.1830519881915444,,15.852351034888589,0.9685813656074566,6.539999999999999,1.1554234516059967,59324.775088,1349.11,-3.25
