trial,elapsed_seconds,score,mean_val_rmse,mean_val_mae,mean_overfit_ratio_rmse,mean_overfit_excess,mean_spearman,mean_signal_spearman,mean_directional_accuracy,total_pnl,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,gamma,objective,tree_method,random_state,n_jobs
15,1.2041969500132836,61.303760724312966,38.237418233648754,20.97270061927385,1.697065261059011,0.6032400605531975,0.8319447364715207,0.24865304997182086,0.5759259259259258,5617.26,300,3,0.017859628524906884,0.6409059472002189,0.8968081307022242,15.597220391179082,6.492188080200204,147.22879703330705,16.89944264616032,reg:squarederror,hist,42,1
14,1.9160947490017861,61.02526656254865,39.90599975165455,22.190442983400764,1.6205231917944616,0.5292253531379946,0.8451674561174909,0.2510393909523344,0.5625,4867.410000000001,500,3,0.006042716396480048,0.6233650835112283,0.8885895963548021,19.645219715088125,1.2308785114956213,166.58217664469,5.287999306782204,reg:squarederror,hist,42,1
16,1.4092942380229943,56.785019742836845,40.698002575548955,23.243372211703342,1.3789610060350859,0.3952778060157882,0.8635213940858066,0.17928031394985874,0.5493055555555556,1134.8499999999985,550,2,0.008543367388990007,0.7813755624339269,0.7176726711242121,81.49389044910666,132.79213673433782,0.001452809298968078,10.24851781195597,reg:squarederror,hist,42,1
17,0.879799118032679,58.237577730282084,43.13862975243371,25.15230485080569,1.3358321127337733,0.3500099114065289,0.8683999403419811,0.22322574669803505,0.5532407407407408,2874.6499999999996,300,2,0.009233155843120061,0.5333106009445772,0.7195424022439039,99.41713794073814,124.53031122413572,0.0014250809600847073,10.22511867981925,reg:squarederror,hist,42,1
19,0.7451693949988112,60.93291501656053,38.25210251052769,20.913318235666388,1.6930353768633042,0.592929826531513,0.8333613405107246,0.24393253725529224,0.5738425925925925,7228.519999999999,200,3,0.02930376265723521,0.6747204492107342,0.8265341208869755,26.998214525811587,3.2784331664212623,0.06681059250550382,16.148455825244834,reg:squarederror,hist,42,1
18,0.9302971900324337,59.79750299104856,38.85339952861531,22.239749130150784,1.5893854325117251,0.5390545928164673,0.831049993095114,0.20228286365665557,0.5618055555555556,7839.019999999999,300,2,0.027996814528356118,0.5203175491261705,0.719017714679216,24.97737954099256,4.733707399286042,0.046500689769195414,10.727987421396922,reg:squarederror,hist,42,1
20,1.3937633520108648,67.87533756927851,38.27721210573658,21.920280372937142,2.02922802881455,0.7732570852281606,0.8050258825824381,0.24499365795382225,0.5759259259259258,7516.110000000001,350,4,0.019465798939763804,0.5756272679138785,0.728999023445616,9.91423313810074,10.82752394973528,0.026480628116186535,3.743367819519278,reg:squarederror,hist,42,1
21,1.7345342460321262,71.05382934654924,38.3088424533361,22.139833662935807,2.160036009966119,0.8547631511732499,0.7961841618600064,0.2356725691031253,0.5733796296296296,6944.450000000001,450,4,0.01953876790663408,0.576200860377932,0.7704249371841505,10.262195326359793,9.595992689849124,4.825311159809718,4.1146129536806955,reg:squarederror,hist,42,1
22,1.0590272989938967,57.34016304932692,42.87652774802808,25.36513671123319,1.3247529032288379,0.3373322435598585,0.8756858102183366,0.19948894104498927,0.5509259259259259,5420.380000000001,550,1,0.00875485532289784,0.7830433049829059,0.6774926671143918,72.33934287891434,142.09512699362688,0.0012825986398642675,7.540028640369606,reg:squarederror,hist,42,1
23,1.1771526940283366,57.51880906300613,42.988208321451644,25.231743377428643,1.325887744407991,0.3380136392961402,0.8791960140509332,0.18855361461627151,0.5483796296296296,5239.239999999999,600,1,0.007173131641272059,0.7674537580951628,0.8398589543018022,74.03616274615555,108.80256310932972,0.0010793006094060537,8.043679390549801,reg:squarederror,hist,42,1
