trial,elapsed_seconds,score,mean_val_rmse,mean_val_mae,mean_overfit_ratio_rmse,mean_overfit_excess,mean_spearman,mean_signal_spearman,mean_directional_accuracy,total_pnl,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,gamma,objective,tree_method,random_state,n_jobs
9,24.947423743025865,16.598619785742248,16.598619785742248,9.016202576746183,0.7247286185957553,0.0,0.7052049231817892,0.7052049231817892,0.7712956642314165,336695.2725,550,3,0.006705919609733594,0.8975474601651552,0.3501090227746423,5.859526850061687,1.057564812408439,0.37361250908692484,18.45498069074074,reg:squarederror,hist,42,1
11,16.801790876023006,17.21811124716357,17.21811124716357,9.397788374971743,0.7039774485221888,0.0,0.7114452354213779,0.7114452354213779,0.7711219629738838,351525.0266666667,250,3,0.005098562912012533,0.5073239280520373,0.7106072892373483,5.044047539057181,430.76848468615935,131.9582356274246,16.151613073607574,reg:squarederror,hist,42,1
12,18.744904839026276,16.548685611179398,16.548685611179398,9.00173916030347,0.7082803074047856,0.0,0.7077291621468758,0.7077291621468758,0.7710085932278468,344395.82166666666,300,3,0.007710728534642255,0.5083689147150473,0.7086754310968083,5.014242652606687,1.0616429188410277,189.19391168786728,18.215586056524486,reg:squarederror,hist,42,1
14,12.904151938972063,16.564104282450906,16.564104282450906,9.006836288664198,0.6952053984798866,0.0,0.708726946454772,0.708726946454772,0.7712104541674509,345060.3616666667,200,2,0.012002945648913372,0.508394036010421,0.7365021404669702,85.2445575808805,4.79362501396311,189.7298354859982,14.700805196964673,reg:squarederror,hist,42,1
15,26.762544244993478,16.653797265205228,16.653797265205228,9.064694769934725,0.6951825922419105,0.0,0.7090240722231061,0.7090240722231061,0.7702345624098448,346967.73666666663,200,2,0.01010781508182974,0.509638192181232,0.6253407295309423,69.66038603998074,3.121644113573118,162.45057105612628,14.673468717166433,reg:squarederror,hist,42,1
13,45.05449360999046,16.684916827107607,16.646987009637073,9.107819647775091,0.7415451908385371,0.0022784794298559286,0.6990132387918915,0.6990132387918915,0.7685785848950512,335746.8925,600,3,0.010228141899794775,0.7637603545014742,0.4740358588461775,68.55382226144361,1.1327644043837883,0.08664529453798721,14.431483067756757,reg:squarederror,hist,42,1
16,17.24974660400767,16.509236250382322,16.509236250382322,8.992926106324173,0.7023434139780349,0.0,0.7057910900197008,0.7057910900197008,0.7699908821190875,338033.48000000004,400,2,0.010547132379480786,0.7618374864095931,0.7014546638476526,242.40377556513886,4.248658637410045,3.571686602515845,15.624854750321365,reg:squarederror,hist,42,1
17,17.587835905025713,16.505566819322198,16.505566819322198,8.978426245239007,0.6972171325133464,0.0,0.7078109488952937,0.7078109488952937,0.7708285780554006,340459.5808333333,400,2,0.007881252682449517,0.7316229027211424,0.6987811515502685,215.53240562466596,5.494363814750068,5.495360246449706,19.886019003509695,reg:squarederror,hist,42,1
18,13.87053067900706,16.939405135270206,16.939405135270206,9.226314877410921,0.6965978373198947,0.0,0.7088640662872138,0.7088640662872138,0.7706029501394416,348579.87166666664,400,1,0.007235170087962429,0.7538819996729179,0.6584890503679276,212.94006380034594,6.625638074841709,3.5390327317631813,19.87781268311074,reg:squarederror,hist,42,1
19,13.417625737027265,17.24698403006421,17.24698403006421,9.424477296248511,0.7019342020490943,0.0,0.7089892809428883,0.7089892809428883,0.7692994363028505,348882.9166666666,400,1,0.005625817950357232,0.7562447540544447,0.6381430032789142,208.24222852581954,7.650434966609238,3.218404086350711,16.18460428118877,reg:squarederror,hist,42,1
20,16.78469746297924,16.55227621935272,16.55227621935272,9.034147367025101,0.7097506885863466,0.0,0.7024611469925979,0.7024611469925979,0.7698940362214216,334902.35666666675,400,2,0.015038875272085788,0.7114345091365256,0.531757477646286,222.3073457167569,7.67530685373098,0.06345016025484859,16.81965852507365,reg:squarederror,hist,42,1
21,18.146579114021733,16.689150328970907,16.686334848058458,9.095880403229472,0.7231655517801888,0.00016872973832102487,0.6996036715926208,0.6996036715926208,0.7676259552092989,331933.2208333333,450,2,0.016099656064873208,0.8089528240899995,0.8975821764657355,131.49398737899986,2.682356064463952,0.09014706705916756,16.716192310551182,reg:squarederror,hist,42,1
22,19.014942643989343,16.54365816526156,16.54365816526156,8.99432997165774,0.6986814454345818,0.0,0.7073951886671027,0.7073951886671027,0.7709576511981944,341367.61,300,2,0.009903723129061995,0.8070514366889027,0.7820547927041069,134.3388003079475,2.6083174348004143,21.248770942993183,19.271832816763343,reg:squarederror,hist,42,1
23,28.10132680699462,16.548283244998526,16.548283244998526,9.004055346378767,0.6969173648830784,0.0,0.708565157290582,0.708565157290582,0.7703890606466358,346698.7833333333,300,2,0.008474487898930412,0.6968467988688346,0.6786176476965455,48.01538186174966,2.3344946968296187,21.931254178152432,18.92918285655199,reg:squarederror,hist,42,1
24,27.945803348964546,16.524017134939157,16.524017134939157,8.987757998505542,0.6992580333090728,0.0,0.7073648657069216,0.7073648657069216,0.7709579470044838,340712.1699999999,350,2,0.009305748529736717,0.808980940531404,0.7789280138889183,162.08465352336387,3.00293350386189,16.31941554697515,19.870796983086134,reg:squarederror,hist,42,1
25,19.36650965496665,16.525658989126036,16.525658989126036,8.989882268544795,0.7005180995483606,0.0,0.7067172230555436,0.7067172230555436,0.770740470013327,339675.04500000004,350,2,0.009984761388090369,0.8021317559626614,0.7722416831284162,168.43003640254054,3.9822810652860516,12.35397879689103,13.525493635375064,reg:squarederror,hist,42,1
26,12.095066760957707,16.63214891173135,16.63214891173135,9.04511041346077,0.6925517251750788,0.0,0.7075106493090245,0.7075106493090245,0.7708166796385236,344329.4641666667,350,1,0.01224887390143616,0.779927630944766,0.7622278700199906,244.55142312124826,11.132405445421664,9.751783985458424,13.555966788212007,reg:squarederror,hist,42,1
27,14.769833486992866,16.539935085317047,16.539935085317047,9.000906599923185,0.6934553889406563,0.0,0.7064130814335062,0.7064130814335062,0.7709119092860178,340360.52416666667,450,1,0.01290604237047123,0.7370199353372099,0.5558292349393805,98.85766266624567,10.272726842632208,1.7925626315479977,17.444742502031147,reg:squarederror,hist,42,1
28,16.82996149401879,16.779884694427942,16.756348873581093,9.170215254722155,0.7325085356739396,0.001404591240276513,0.6942271053770683,0.6942271053770683,0.7660301951208252,330432.96166666667,450,2,0.021583843597323488,0.855272040421393,0.5827476916113077,106.74136606436865,10.858365348793265,1.9766991936531073,8.839082855421532,reg:squarederror,hist,42,1
29,18.95215593802277,16.838380070561367,16.806688804967298,9.214731720740465,0.7375749869719329,0.0018856341044824415,0.691916028646559,0.691916028646559,0.7625992423642667,330225.2858333334,500,2,0.022992407514122185,0.8468314172711117,0.8217020984550265,176.29883649496244,4.782354400689964,50.20864936056203,8.652015127195195,reg:squarederror,hist,42,1
30,31.875688747037202,16.504971130793926,16.504971130793926,8.988736880350103,0.7031662886126232,0.0,0.7066498034911557,0.7066498034911557,0.7704175195000106,340705.02,600,2,0.006155708426807655,0.690560518126276,0.8160617694499942,48.002566262701585,4.7870803628151055,61.396440457579146,19.956601227990962,reg:squarederror,hist,42,1
31,47.51321335398825,16.511716314396267,16.511716314396267,9.00324744652612,0.711146386221944,0.0,0.7047583877033051,0.7047583877033051,0.7697208132272735,339420.0416666667,600,3,0.005963294072455022,0.6842159789090266,0.6726151417784125,169.0915859650784,1.8186597711741312,61.44591165642405,19.746614547269445,reg:squarederror,hist,42,1
32,38.29725873400457,16.517290924154555,16.517290924154555,9.003130643544843,0.7063260678039817,0.0,0.7051021662069088,0.7051021662069088,0.7699752372658046,339181.025,700,2,0.006093114971240417,0.6922305314040443,0.6807828128362742,47.064118770520004,2.013685766463332,48.865351776513705,19.568431058908764,reg:squarederror,hist,42,1
33,33.40380610403372,16.533275903721325,16.533275903721325,9.013198789774103,0.7215120911573933,0.0,0.7038621439947171,0.7038621439947171,0.769420515302911,339359.06083333335,650,3,0.005855740706414563,0.6750290163337913,0.6741643206398968,45.814218211942965,1.7398326467937357,48.93821751661833,17.372039849928626,reg:squarederror,hist,42,1
34,36.715276974020526,16.496339268187793,16.496339268187793,8.981679478012024,0.7089346844930141,0.0,0.7066424129563615,0.7066424129563615,0.7709243237340172,341155.1058333334,600,3,0.005190510093619977,0.6623392600104792,0.5985099411691495,88.08907368493027,1.6526391369259348,63.026580344080635,17.67859044658546,reg:squarederror,hist,42,1
